attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	repo
ADCP	Indication of whether ADCP data were collected	categorical					nes-lter-events-mvco
AR77_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
AR77_4	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
AR77_5	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
Abundance	Count for all ROIs in a data provider category per sample. This term corresponds to URI http://vocab.nerc.ac.uk/collection/P02/current/PATX/ however can also be matched to Darwin Core organismQuantity	numeric	dimensionless			Missing value	nes-lter-ifcb-transect-winter-2018
Action	Action taken for this event	character				Missing value	nes-lter-events-transect
AphiaID	Aphia ID	numeric	dimensionless			Not taxonomically identified	nes-lter-trawl-transect-abundance
Area	Cross-sectional area of the ROI determined by means specified in the image processing method	numeric	squareMicrometers			Missing value	nes-lter-ifcb-transect-winter-2018
BEGIN_GMT_TOWDATE	Date and time in UTC when sampling event began	Date		YYYY-MM-DD hh:mm		Missing value	nes-lter-fish-diet
Biovolume	Biovolume summed for all ROIs in a data provider category per sample	numeric	cubicMicrometers			Missing value	nes-lter-ifcb-transect-winter-2018
Biovolume	Biovolume for the ROI determined by means specified in the biovolume calculation method	numeric	cubicMicrometers			Missing value	nes-lter-ifcb-transect-winter-2018
CTD	Indication of whether CTD data were collected	categorical					nes-lter-events-mvco
C_quality_flag	Carbon sample IODE Quality Flag primary level for carbon data	categorical					nes-lter-poc-transect
C_quality_flag	Laboratory quality flag for carbon data	categorical					nes-lter-poc-mvco
C_to_N	Carbon to nitrogen isotopic ratio	numeric	dimensionless				nes-lter-fish-diet-isotope
C_to_N_molar_ratio	Molar ratio of particulate organic carbon to particulate organic nitrogen 	numeric	dimensionless			Missing value	nes-lter-poc-mvco,nes-lter-poc-transect
Cast	Cast number count for Instrument associated with event if applicable	character					nes-lter-events-transect
